#VERB   LABEL
abbauen	NEGATIVE
abbeißen	NEGATIVE
abbekommen	NEGATIVE
abbestellen	NEGATIVE
abbitten	NEGATIVE
abblocken	NEGATIVE
abblättern	NEGATIVE
abbrechen	NEGATIVE
abbrennen	NEGATIVE
abbringen	NEGATIVE
abbröckeln	NEGATIVE
abbüßen	NEGATIVE
abdrehen	NEGATIVE
abdriften	NEGATIVE
abdrängen	NEGATIVE
abebben	NEGATIVE
aberkennen	NEGATIVE
abfackeln	NEGATIVE
abfallen	NEGATIVE
abfertigen	NEGATIVE
abfinden	NEGATIVE
abflachen	NEGATIVE
abflauen	NEGATIVE
abfärben	NEGATIVE
abführen	NEGATIVE
abfüttern	NEGATIVE
abgehen	NEGATIVE
abgeraten	NEGATIVE
abgewöhnen	NEGATIVE
abgleiten	NEGATIVE
abgreifen	NEGATIVE
abgucken	NEGATIVE
abhacken	NEGATIVE
abhalten	NEGATIVE
abhandenkommen	NEGATIVE
abhauen	NEGATIVE
abhängen	NEGATIVE
abhärten	POSITIVE
abkanzeln	NEGATIVE
abkapseln	NEGATIVE
abkauen	NEGATIVE
abkaufen	NEGATIVE
abkehren	NEGATIVE
abklappern	NEGATIVE
abknallen	NEGATIVE
abknapsen	NEGATIVE
abknöpfen	NEGATIVE
abkommandieren	POSITIVE
abkommen	NEGATIVE
abkoppeln	NEGATIVE
abkratzen	NEGATIVE
abkupfern	NEGATIVE
abladen	NEGATIVE
ablassen	NEGATIVE
ableben	POSITIVE
abledern	NEGATIVE
ablehnen	NEGATIVE
ablenken	NEGATIVE
ableugnen	NEGATIVE
abliegen	NEGATIVE
abluchsen	POSITIVE
abmelden	NEGATIVE
abmurksen	NEGATIVE
abmühen	POSITIVE
abnagen	NEGATIVE
abnehmen	NEGATIVE
abnutzen	NEGATIVE
abplagen	NEGATIVE
abprallen	NEGATIVE
abrackern	NEGATIVE
abrasieren	NEGATIVE
abraten	NEGATIVE
abreagieren	NEGATIVE
abreißen	NEGATIVE
abrichten	NEGATIVE
abriegeln	NEGATIVE
abrutschen	NEGATIVE
abrücken	NEGATIVE
absacken	NEGATIVE
absagen	NEGATIVE
absaufen	NEGATIVE
abschaffen	NEGATIVE
abschieben	NEGATIVE
abschirmen	NEGATIVE
abschlachten	NEGATIVE
abschlaffen	NEGATIVE
abschlagen	NEGATIVE
abschnüren	NEGATIVE
abschotten	NEGATIVE
abschrecken	NEGATIVE
abschweifen	NEGATIVE
abschwächen	NEGATIVE
abschürfen	NEGATIVE
abschütteln	NEGATIVE
absehen	NEGATIVE
abservieren	NEGATIVE
absitzen	NEGATIVE
absondern	NEGATIVE
abspannen	NEGATIVE
absparen	NEGATIVE
abspecken	NEGATIVE
abspeisen	NEGATIVE
abstellen	NEGATIVE
abstempeln	NEGATIVE
absterben	NEGATIVE
abstottern	NEGATIVE
abstoßen	NEGATIVE
abstreifen	NEGATIVE
abstreiten	NEGATIVE
abstumpfen	NEGATIVE
abstürzen	NEGATIVE
absuchen	NEGATIVE
absägen	NEGATIVE
abtreiben	NEGATIVE
abtreten	NEGATIVE
abtun	NEGATIVE
aburteilen	NEGATIVE
abwandern	NEGATIVE
abwatschen	NEGATIVE
abwehren	NEGATIVE
abweichen	NEGATIVE
abweisen	NEGATIVE
abwenden	NEGATIVE
abwerben	POSITIVE
abwerfen	NEGATIVE
abwerten	NEGATIVE
abwiegeln	NEGATIVE
abwimmeln	NEGATIVE
abwinken	NEGATIVE
abwracken	POSITIVE
abwählen	NEGATIVE
abwälzen	NEGATIVE
abwürgen	NEGATIVE
abzeichnen	NEGATIVE
abziehen	NEGATIVE
agitieren	NEGATIVE
ahnden	NEGATIVE
ahnen	NEGATIVE
alarmieren	NEGATIVE
albern	NEGATIVE
alterieren	POSITIVE
altern	NEGATIVE
amerikanern	POSITIVE
amerikanisieren	POSITIVE
amnestieren	NEGATIVE
amputieren	NEGATIVE
anarbeiten	NEGATIVE
anbaggern	NEGATIVE
anbandeln	NEGATIVE
anbiedern	POSITIVE
anblaffen	NEGATIVE
anblicken	NEGATIVE
anbrüllen	NEGATIVE
anbändeln	POSITIVE
andauern	NEGATIVE
andrehen	NEGATIVE
androhen	NEGATIVE
anecken	NEGATIVE
aneinandergeraten	NEGATIVE
anekeln	NEGATIVE
anfachen	NEGATIVE
anfallen	NEGATIVE
anfassen	NEGATIVE
anfauchen	NEGATIVE
anfechten	NEGATIVE
anflehen	POSITIVE
anfordern	NEGATIVE
anfressen	NEGATIVE
anführen	NEGATIVE
angaffen	POSITIVE
angehen	NEGATIVE
anglotzen	NEGATIVE
angraben	NEGATIVE
angreifen	NEGATIVE
angucken	NEGATIVE
anhaben	NEGATIVE
anhaften	NEGATIVE
anhauen	NEGATIVE
anheimgeben	NEGATIVE
anheizen	POSITIVE
anherrschen	NEGATIVE
anheuern	NEGATIVE
anhimmeln	POSITIVE
anhäufen	POSITIVE
anhören	NEGATIVE
anketten	NEGATIVE
anklagen	NEGATIVE
anklingeln	POSITIVE
anknabbern	NEGATIVE
anknurren	NEGATIVE
ankreiden	NEGATIVE
ankucken	NEGATIVE
ankämpfen	NEGATIVE
ankünden	NEGATIVE
ankündigen	NEGATIVE
anlabern	NEGATIVE
anlasten	NEGATIVE
anleiern	NEGATIVE
anlügen	NEGATIVE
anmachen	NEGATIVE
anmahnen	NEGATIVE
anmaßen	NEGATIVE
anmeckern	NEGATIVE
anmerken	NEGATIVE
anmuten	NEGATIVE
annagen	NEGATIVE
annullieren	NEGATIVE
anpappen	NEGATIVE
anpissen	NEGATIVE
anprangern	NEGATIVE
anpumpen	NEGATIVE
anpöbeln	NEGATIVE
anquatschen	NEGATIVE
anrempeln	NEGATIVE
anrennen	NEGATIVE
anrichten	NEGATIVE
ansammeln	NEGATIVE
ansaufen	NEGATIVE
anscheißen	NEGATIVE
anschießen	NEGATIVE
anschlagen	NEGATIVE
anschleppen	NEGATIVE
anschmieren	NEGATIVE
anschnauzen	NEGATIVE
anschreien	NEGATIVE
anschuldigen	NEGATIVE
anschwellen	NEGATIVE
anschwindeln	NEGATIVE
anschwärzen	NEGATIVE
anspannen	NEGATIVE
ansprechen	NEGATIVE
anspucken	NEGATIVE
anstacheln	NEGATIVE
anstarren	NEGATIVE
anstecken	NEGATIVE
anstehen	NEGATIVE
anstellen	NEGATIVE
anstieren	NEGATIVE
anstiften	NEGATIVE
anstürmen	NEGATIVE
antreffen	NEGATIVE
antrinken	POSITIVE
antun	NEGATIVE
anturnen	NEGATIVE
anwerben	NEGATIVE
anwidern	NEGATIVE
anzetteln	NEGATIVE
anzweifeln	NEGATIVE
anzählen	POSITIVE
anzünden	NEGATIVE
anästhesieren	NEGATIVE
anöden	NEGATIVE
argumentieren	NEGATIVE
argwöhnen	NEGATIVE
assoziieren	NEGATIVE
atomisieren	NEGATIVE
attackieren	NEGATIVE
attrahieren	POSITIVE
aufbauschen	NEGATIVE
aufbegehren	NEGATIVE
aufbessern	NEGATIVE
aufblasen	NEGATIVE
aufbleiben	NEGATIVE
aufblähen	NEGATIVE
aufbrechen	NEGATIVE
aufbäumen	POSITIVE
aufbürden	NEGATIVE
aufdecken	NEGATIVE
aufdonnern	NEGATIVE
aufdrängen	NEGATIVE
aufdrücken	NEGATIVE
aufeinanderprallen	NEGATIVE
aufeinanderstoßen	NEGATIVE
auferlegen	POSITIVE
auffahren	NEGATIVE
auffallen	NEGATIVE
auffinden	NEGATIVE
aufflackern	NEGATIVE
aufflammen	NEGATIVE
auffliegen	NEGATIVE
auffressen	NEGATIVE
aufgabeln	POSITIVE
aufgeben	NEGATIVE
aufhaben	NEGATIVE
aufhalsen	NEGATIVE
aufhalten	NEGATIVE
aufhetzen	NEGATIVE
aufhäufen	POSITIVE
aufkeimen	NEGATIVE
aufknöpfen	NEGATIVE
aufknüpfen	NEGATIVE
aufkommen	NEGATIVE
aufkündigen	NEGATIVE
auflachen	NEGATIVE
auflassen	NEGATIVE
auflehnen	NEGATIVE
auflesen	NEGATIVE
aufmarschieren	NEGATIVE
aufmotzen	NEGATIVE
aufmucken	NEGATIVE
aufnötigen	POSITIVE
aufpassen	NEGATIVE
aufpeitschen	POSITIVE
aufplatzen	NEGATIVE
aufplustern	NEGATIVE
aufputschen	NEGATIVE
aufquellen	NEGATIVE
aufrauchen	NEGATIVE
aufrechen	POSITIVE
aufreden	NEGATIVE
aufregen	NEGATIVE
aufreiben	NEGATIVE
aufreißen	NEGATIVE
aufrütteln	NEGATIVE
aufschieben	NEGATIVE
aufschnappen	NEGATIVE
aufschrecken	NEGATIVE
aufschwatzen	NEGATIVE
aufsitzen	NEGATIVE
aufspüren	NEGATIVE
aufstacheln	NEGATIVE
aufstauen	NEGATIVE
aufstoßen	NEGATIVE
aufstöbern	NEGATIVE
auftischen	POSITIVE
auftürmen	NEGATIVE
aufweichen	NEGATIVE
aufwerfen	NEGATIVE
aufwiegeln	NEGATIVE
aufwirbeln	NEGATIVE
aufwühlen	NEGATIVE
aufzehren	NEGATIVE
aufzwingen	POSITIVE
aufzählen	NEGATIVE
ausagieren	POSITIVE
ausarten	NEGATIVE
ausbaden	NEGATIVE
ausbeuten	NEGATIVE
ausbleiben	NEGATIVE
ausbleichen	NEGATIVE
ausblenden	NEGATIVE
ausbluten	NEGATIVE
ausbooten	NEGATIVE
ausborgen	NEGATIVE
ausbrechen	NEGATIVE
ausbrennen	NEGATIVE
ausbrüten	NEGATIVE
ausbuchen	POSITIVE
ausbuhen	NEGATIVE
ausbügeln	NEGATIVE
ausbürgern	NEGATIVE
ausdünnen	NEGATIVE
auseinanderbrechen	NEGATIVE
auseinanderdriften	POSITIVE
auseinanderfallen	NEGATIVE
auseinandergehen	NEGATIVE
auseinanderhalten	NEGATIVE
auseinanderjagen	POSITIVE
auseinanderklaffen	NEGATIVE
auseinanderlaufen	NEGATIVE
auseinanderleben	POSITIVE
auseinandernehmen	NEGATIVE
auseinanderreißen	NEGATIVE
auseinandersprengen	NEGATIVE
auseinanderstieben	NEGATIVE
auseinandertreiben	NEGATIVE
ausfallen	NEGATIVE
ausfechten	POSITIVE
ausflippen	NEGATIVE
ausforschen	NEGATIVE
ausfragen	NEGATIVE
ausfransen	NEGATIVE
ausfressen	NEGATIVE
ausgehen	NEGATIVE
ausgleiten	NEGATIVE
ausgrenzen	NEGATIVE
aushalten	NEGATIVE
ausharren	POSITIVE
aushecken	NEGATIVE
ausheulen	NEGATIVE
aushorchen	NEGATIVE
aushängen	NEGATIVE
aushöhlen	NEGATIVE
ausklammern	NEGATIVE
ausknipsen	NEGATIVE
auskotzen	NEGATIVE
auskramen	NEGATIVE
auskugeln	NEGATIVE
auskundschaften	NEGATIVE
auskämpfen	NEGATIVE
auslachen	NEGATIVE
auslassen	NEGATIVE
auslatschen	NEGATIVE
auslaugen	NEGATIVE
ausleiern	NEGATIVE
ausliefern	NEGATIVE
auslöffeln	NEGATIVE
auslöschen	NEGATIVE
auslösen	NEGATIVE
ausmachen	NEGATIVE
ausmalen	NEGATIVE
ausmerzen	NEGATIVE
ausnehmen	NEGATIVE
ausnutzen	POSITIVE
ausnützen	POSITIVE
auspeitschen	NEGATIVE
auspfeifen	NEGATIVE
ausplaudern	POSITIVE
ausplündern	POSITIVE
ausposaunen	POSITIVE
auspowern	NEGATIVE
ausprägen	NEGATIVE
auspumpen	NEGATIVE
ausquartieren	NEGATIVE
ausquetschen	NEGATIVE
ausradieren	NEGATIVE
ausrasten	NEGATIVE
ausrauben	NEGATIVE
ausreden	NEGATIVE
ausreißen	NEGATIVE
ausrenken	NEGATIVE
ausrotten	NEGATIVE
ausrutschen	NEGATIVE
ausräumen	NEGATIVE
aussaugen	NEGATIVE
ausschelten	NEGATIVE
ausschicken	POSITIVE
ausschimpfen	NEGATIVE
ausschlachten	POSITIVE
ausschlagen	NEGATIVE
ausschließen	NEGATIVE
ausschweifen	NEGATIVE
ausschweigen	NEGATIVE
ausschwitzen	NEGATIVE
aussetzen	NEGATIVE
aussiedeln	NEGATIVE
aussitzen	NEGATIVE
aussparen	NEGATIVE
aussperren	NEGATIVE
ausspionieren	POSITIVE
ausspucken	NEGATIVE
ausspähen	POSITIVE
ausstehen	NEGATIVE
ausstoßen	NEGATIVE
austauschen	NEGATIVE
austricksen	NEGATIVE
austrocknen	NEGATIVE
ausufern	NEGATIVE
auswalzen	NEGATIVE
auswechseln	NEGATIVE
ausweiden	NEGATIVE
ausweinen	NEGATIVE
auszehren	NEGATIVE
bagatellisieren	NEGATIVE
banalisieren	NEGATIVE
bangen	POSITIVE
bannen	NEGATIVE
bauern	POSITIVE
beabsichtigen	NEGATIVE
beanstanden	NEGATIVE
beargwöhnen	NEGATIVE
beben	POSITIVE
bedauern	NEGATIVE
bedenken	NEGATIVE
bedeuten	POSITIVE
